experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows,target_mode,normalization_mode
tabular_variant,histgb_delta_current_mean_center,wheat,2,496,2025-09-02,2025-11-30,36.596263380761584,54.613707598062604,0.7615359693579579,1.4460993076133377,1.4435257972096949,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,3,480,2025-09-02,2025-11-30,42.55904950071686,63.52427841067469,0.6795584405616718,1.6826579902158967,1.6789367308684262,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,4,464,2025-09-02,2025-11-30,42.34853329036434,61.12645960006173,0.7044860556303691,1.6781796526842692,1.6709614097729388,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,5,448,2025-09-02,2025-11-30,40.048785861775386,57.57896576804709,0.7392771626240369,1.5841287197755325,1.5800578740928526,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,6,432,2025-09-02,2025-11-30,43.87859971404218,62.065051540685424,0.6990612075372229,1.729550381640172,1.7315388060020471,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,7,416,2025-09-02,2025-11-30,46.18002226975217,63.52996978882262,0.6898706888151382,1.8219732983445516,1.822768921376861,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,8,400,2025-09-02,2025-11-30,42.33624436938119,63.78090564994709,0.6931363645476032,1.6706802127741485,1.6711770994921433,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,9,384,2025-09-02,2025-11-30,53.686113643680414,74.78042630788863,0.5846848943240732,2.122161993517014,2.119298032838027,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,10,368,2025-09-02,2025-11-30,55.70068340877886,76.18452949142684,0.5707799233099251,2.2174965130563318,2.1994408882543026,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,11,352,2025-09-02,2025-11-30,53.41459529082822,73.6597194889251,0.5978853162650182,2.113631348168831,2.1093919642629895,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,12,336,2025-09-02,2025-11-30,50.569540075989394,72.15646087952858,0.6060532454459049,2.017922372739536,1.9975550694378195,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,13,320,2025-09-02,2025-11-30,40.94665645108349,62.06140511056882,0.7001234617736274,1.6226201820203352,1.6173860622256735,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,14,304,2025-09-02,2025-11-30,48.183618139170036,76.60442173041707,0.5424708108545009,1.9352410385534762,1.9040263103524038,10000,delta_current,series_mean_center
tabular_variant,histgb_delta_current_mean_center,wheat,15,288,2025-09-02,2025-11-30,44.55225187951401,67.30390043071604,0.6477546687703071,1.7874927283534747,1.760324343953385,10000,delta_current,series_mean_center
