experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,roll_mean_28,onion,9,6557,2025-10-03,2025-12-31,437.90561049468863,529.399375659859,0.7240578063268981,20.25785516689402,15.891842959689523
baseline,previous_day_price,onion,10,6293,2025-10-03,2025-12-31,376.243248220409,517.6751552112478,0.7371039643279618,14.19329265309696,13.58125769129568
baseline,current_price,onion,10,6293,2025-10-03,2025-12-31,338.1773613475078,479.7861459014509,0.7741787541361399,12.309076733874305,12.207192850760059
baseline,roll_mean_7,onion,10,6293,2025-10-03,2025-12-31,445.09308636115503,555.1721301927255,0.6976397435439827,17.836552003249263,16.066531242957378
baseline,roll_mean_28,onion,10,6293,2025-10-03,2025-12-31,432.57051845166575,524.5213880388894,0.7301044052177763,19.92967223644241,15.614503937377947
baseline,previous_day_price,onion,11,6030,2025-10-03,2025-12-31,397.56099575747385,537.5339536311038,0.7171104738073241,14.8606339198017,14.272122268550296
baseline,current_price,onion,11,6030,2025-10-03,2025-12-31,360.0036369105234,500.99197952739684,0.7542652299959913,13.003348324950966,12.923843078017008
baseline,roll_mean_7,onion,11,6030,2025-10-03,2025-12-31,460.1590830572581,568.3216575358884,0.6837769834179606,18.214275921293346,16.51934361383769
baseline,roll_mean_28,onion,11,6030,2025-10-03,2025-12-31,426.15832063090056,518.1593654580746,0.7371356025794065,19.555608862717534,15.298743394622694
baseline,previous_day_price,onion,12,5766,2025-10-03,2025-12-31,420.23570009417904,556.6091701525099,0.697597807911198,15.567856042093464,14.993854613819286
baseline,current_price,onion,12,5766,2025-10-03,2025-12-31,381.36088124288324,522.13738012497,0.7338945358736606,13.657893838106466,13.606815431131425
baseline,roll_mean_7,onion,12,5766,2025-10-03,2025-12-31,472.57028932782634,578.8921477325022,0.6729007575813756,18.482182713634998,16.86113343393714
baseline,roll_mean_28,onion,12,5766,2025-10-03,2025-12-31,417.8272189859722,510.34847914576403,0.7457752255725074,19.104708016802082,14.907920897172911
baseline,previous_day_price,onion,13,5502,2025-10-03,2025-12-31,442.48466376195313,572.9446790236819,0.6804961663526343,16.23191235178242,15.686155517155562
baseline,current_price,onion,13,5502,2025-10-03,2025-12-31,404.69777015347364,542.3448897163642,0.7137128881454762,14.367468720689185,14.346603803400129
baseline,roll_mean_7,onion,13,5502,2025-10-03,2025-12-31,481.6208140376244,585.9558118584313,0.6658200228315361,18.629290752793263,17.073538605978754
baseline,roll_mean_28,onion,13,5502,2025-10-03,2025-12-31,408.12691764954434,500.79995147263077,0.7558935533997118,18.589759856795627,14.468167657065276
baseline,previous_day_price,onion,14,5238,2025-10-03,2025-12-31,460.97031099579885,589.5975688939532,0.6630397848278258,16.708636274195843,16.229715894627372
baseline,current_price,onion,14,5238,2025-10-03,2025-12-31,427.97008896869664,559.9986974372405,0.6960226026400114,15.069140746546935,15.067853155999995
baseline,roll_mean_7,onion,14,5238,2025-10-03,2025-12-31,486.9769470495799,589.368379515,0.6633017014179825,18.651171605855414,17.1453503822716
baseline,roll_mean_28,onion,14,5238,2025-10-03,2025-12-31,397.49696106904565,489.7932470347508,0.7674625826593799,18.05201108215956,13.994963652197468
baseline,previous_day_price,onion,15,4974,2025-10-03,2025-12-31,480.47711897531707,601.9219271004515,0.6508344898571525,17.20330133545328,16.803421293075697
baseline,current_price,onion,15,4974,2025-10-03,2025-12-31,449.06007615176964,579.6543313417675,0.6761908022971418,15.641935624806072,15.704692996767818
baseline,roll_mean_7,onion,15,4974,2025-10-03,2025-12-31,490.02704010732805,589.842641602759,0.6647078840258532,18.618629140304144,17.137404622893886
baseline,roll_mean_28,onion,15,4974,2025-10-03,2025-12-31,387.3250903099382,479.0784306995141,0.7788106326779047,17.551171290469146,13.545674523974219
baseline,previous_day_price,potato,1,4113,2025-09-02,2025-11-30,134.16449958870268,317.16201346754707,0.9518052679998411,4.475320308954942,5.110431164110229
baseline,current_price,potato,1,4113,2025-09-02,2025-11-30,101.79922020310896,275.05977448059855,0.9637513862770033,3.3753744817051587,3.8776122521452336
baseline,roll_mean_7,potato,1,4113,2025-09-02,2025-11-30,172.2375583674744,318.1551778087352,0.9515029604715384,6.170054497078513,6.560663876135485
baseline,roll_mean_28,potato,1,4113,2025-09-02,2025-11-30,226.0212411184847,360.3902991478245,0.9377723469470659,8.669552939907293,8.609326594619066
baseline,previous_day_price,potato,2,3984,2025-09-02,2025-11-30,146.8105370895344,320.9870536361437,0.9503672096818594,5.020627998709501,5.597272690752049
baseline,current_price,potato,2,3984,2025-09-02,2025-11-30,126.95871197673918,305.5017568349355,0.9550405403495688,4.1972423796977685,4.8404055014598475
baseline,roll_mean_7,potato,2,3984,2025-09-02,2025-11-30,183.1758793681595,331.70910951187835,0.9469960231385486,6.644129344376344,6.9837313282670355
baseline,roll_mean_28,potato,2,3984,2025-09-02,2025-11-30,228.43342209303472,360.74744490980186,0.9373097233462226,8.809204363077127,8.709212434503968
baseline,previous_day_price,potato,3,3855,2025-09-02,2025-11-30,170.0838327753557,354.3510469506641,0.9392530432536373,5.8872850349748065,6.489598802706506
baseline,current_price,potato,3,3855,2025-09-02,2025-11-30,140.6812889244104,313.0304016842206,0.9525943481834678,4.781138023166539,5.367736070322999
baseline,roll_mean_7,potato,3,3855,2025-09-02,2025-11-30,194.54282427624108,347.4078953552054,0.941610271781785,7.121483865835108,7.422838837161759
baseline,roll_mean_28,potato,3,3855,2025-09-02,2025-11-30,231.36078302035236,363.9032521927675,0.9359338008896078,8.963894501616567,8.827638911837067
baseline,previous_day_price,potato,4,3726,2025-09-02,2025-11-30,187.05229531024565,378.45907529110843,0.9302247396870503,6.573826963523928,7.14583776386428
baseline,current_price,potato,4,3726,2025-09-02,2025-11-30,162.67685951082316,343.012642300427,0.9426829445122963,5.61687388446448,6.21463876757684
baseline,roll_mean_7,potato,4,3726,2025-09-02,2025-11-30,200.84195044010258,353.58791497719807,0.9390942291865488,7.454795506462582,7.672635033120772
baseline,roll_mean_28,potato,4,3726,2025-09-02,2025-11-30,231.9082031127784,361.1025969862495,0.9364779008682892,9.051054527742266,8.859438975632978
baseline,previous_day_price,potato,5,3597,2025-09-02,2025-11-30,196.2650143913772,386.7764633379661,0.926573822903388,7.008705759874724,7.506632507719738
baseline,current_price,potato,5,3597,2025-09-02,2025-11-30,180.75202599675663,368.35744909288206,0.9334006860960462,6.345821003926984,6.913300561442644
baseline,roll_mean_7,potato,5,3597,2025-09-02,2025-11-30,206.58117528186176,357.12711168060133,0.9373996899331285,7.774268761793886,7.901199154941714
baseline,roll_mean_28,potato,5,3597,2025-09-02,2025-11-30,232.52838875358307,356.74782963228824,0.937532586960499,9.144495623159298,8.893613400219063
baseline,previous_day_price,potato,6,3468,2025-09-02,2025-11-30,202.46860445443977,385.791073040649,0.9264488763560405,7.412629057696711,7.751842520573933
baseline,current_price,potato,6,3468,2025-09-02,2025-11-30,190.827602085074,380.1941082434731,0.9285675199626777,6.811310934938361,7.306147656463495
baseline,roll_mean_7,potato,6,3468,2025-09-02,2025-11-30,212.04267640383125,362.0306137980984,0.9352297524636184,8.09544804912429,8.118401564294846
baseline,roll_mean_28,potato,6,3468,2025-09-02,2025-11-30,233.5618381391729,354.95707952148626,0.9377360528858419,9.249215510297361,8.942297957499184
baseline,previous_day_price,potato,7,3339,2025-09-02,2025-11-30,218.17314139413494,408.0442229053885,0.9170989059812298,8.011004936791078,8.36238616221245
