experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,current_price,tomato,2,28999,2025-10-03,2025-12-31,313.5140593739323,552.7992319657088,0.8450974440211281,9.980628604521018,9.857664635570087
baseline,roll_mean_7,tomato,2,28999,2025-10-03,2025-12-31,462.5158489102233,693.1144912172423,0.7564805356660455,14.058181682641417,14.542652844014942
baseline,roll_mean_28,tomato,2,28999,2025-10-03,2025-12-31,572.6614213835637,868.3920595303199,0.6177430332584974,17.06690500645641,18.005904593245262
baseline,previous_day_price,tomato,3,28633,2025-10-03,2025-12-31,429.3680675641715,692.4287174128493,0.7582653908201707,13.342286996383685,13.459510643626741
baseline,current_price,tomato,3,28633,2025-10-03,2025-12-31,372.82505030890167,618.8824537340525,0.8068898815529246,11.67731021997297,11.687042218372147
baseline,roll_mean_7,tomato,3,28633,2025-10-03,2025-12-31,508.60668155119606,755.9093674155588,0.7119100256992306,15.310403032569647,15.94342374502474
baseline,roll_mean_28,tomato,3,28633,2025-10-03,2025-12-31,589.3621107973267,893.9214476383883,0.5971091493744174,17.479949001994914,18.474884842341893
baseline,previous_day_price,tomato,4,28270,2025-10-03,2025-12-31,479.14296023798556,749.2787470822695,0.7184906477602298,14.73867375821123,14.97456532440907
baseline,current_price,tomato,4,28270,2025-10-03,2025-12-31,430.6764450036253,694.1696699269678,0.7583775589375876,13.346482009953348,13.4598503882595
baseline,roll_mean_7,tomato,4,28270,2025-10-03,2025-12-31,550.9346074249218,813.2707799304152,0.6683527988258648,16.467023073047603,17.21825624708012
baseline,roll_mean_28,tomato,4,28270,2025-10-03,2025-12-31,605.3176927069329,917.7059861764745,0.5777077334790851,17.882519690241395,18.917880640379984
baseline,previous_day_price,tomato,5,27912,2025-10-03,2025-12-31,526.7689458657406,805.9502041479974,0.6760400247619468,16.04799466984844,16.411623491317226
baseline,current_price,tomato,5,27912,2025-10-03,2025-12-31,481.2285863972615,752.0863948756172,0.7178952474334652,14.761434016923442,14.992801749599725
baseline,roll_mean_7,tomato,5,27912,2025-10-03,2025-12-31,590.5420853845063,868.5150473553222,0.6237906090963767,17.53638644817662,18.398492236818377
