experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,train_rows,target_mode,normalization_mode
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,6,432,2025-09-02,2025-11-30,44.788196890437625,62.44689899469675,0.6953468400506898,1.7651345655970978,1.7674333609564652,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,7,416,2025-09-02,2025-11-30,45.65311285013926,62.686689248668756,0.6980492004459464,1.7974124788130517,1.8019713109114317,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,8,400,2025-09-02,2025-11-30,43.39812570286318,64.3801544159568,0.687343047428531,1.7164721014043458,1.7130937076685813,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,9,384,2025-09-02,2025-11-30,56.83303964114174,76.4755583694684,0.565642657615437,2.2484593878374666,2.2435252048805263,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,10,368,2025-09-02,2025-11-30,56.08089274276159,74.46040660285716,0.5899873508385023,2.2346885002009715,2.214454132331049,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,11,352,2025-09-02,2025-11-30,52.83967175182031,73.39560947121409,0.600763744806087,2.093624822335604,2.0866876998827038,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,12,336,2025-09-02,2025-11-30,51.450739286020855,72.78608829675547,0.5991481989753918,2.054050293982759,2.0323634530327244,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,13,320,2025-09-02,2025-11-30,41.342182716049145,63.01332944865523,0.6908536417744795,1.640859427076707,1.6330092833539689,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,14,304,2025-09-02,2025-11-30,48.711094751281415,76.19036506314517,0.5474034511683012,1.957543184036505,1.9248701030425828,10000,delta_current,series_mean_center
tabular_variant,histgb_cross_crop_delta_current_mean_center,wheat,15,288,2025-09-02,2025-11-30,42.274182660308085,66.14018760593963,0.6598303026517476,1.698012008860271,1.6703145120233631,10000,delta_current,series_mean_center
