experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct,source_file,train_rows,target_mode,normalization_mode,threshold_km,alpha,graph_mode,correction_scale,best_alpha,train_windows,validation_windows,sweep,config_name,display_name,graph_bucket
graph_model,graph_neighbor_blend,potato,15,2307.0,2025-09-02,2025-11-30,261.6637221572387,446.56564034344586,0.8998849572302491,10.395485902878407,10.042707540316744,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,75.0,0.95,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,potato,15,2307.0,2025-09-02,2025-11-30,260.3683942546618,442.69125667310067,0.9016146086830892,10.32689490360547,9.992992588671386,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,150.0,0.95,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,potato,15,2307.0,2025-09-02,2025-11-30,260.5879778930978,442.1808405681626,0.9018413515313948,10.346580369783617,10.001420253933007,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,300.0,0.95,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,tomato,15,24442.0,2025-10-03,2025-12-31,897.855032322778,1273.324427582433,0.2270883801353318,25.124924212648743,26.976661460948176,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,75.0,0.8,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,tomato,15,24442.0,2025-10-03,2025-12-31,899.838555464748,1275.399251076137,0.2245674802078502,25.087415586163083,27.03625775475348,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,150.0,0.8,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,tomato,15,24442.0,2025-10-03,2025-12-31,898.8264163317405,1273.882920644921,0.2264102176266085,24.977887226746397,27.005847350223156,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,300.0,0.8,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,wheat,15,288.0,2025-09-02,2025-11-30,38.82698702892684,65.82790637892286,0.6630349452407603,1.548591066122846,1.534110793192252,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,75.0,1.0,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,wheat,15,288.0,2025-09-02,2025-11-30,38.82698702892684,65.82790637892286,0.6630349452407603,1.548591066122846,1.534110793192252,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,150.0,1.0,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_neighbor_blend,wheat,15,288.0,2025-09-02,2025-11-30,109.5777616930154,120.99443955674386,-0.1384018772265913,4.3274398656250845,4.329576919833167,graph_neighbor_blend_metrics/graph_neighbor_blend_metrics.csv,,,,300.0,0.95,,,,,,,,graph_neighbor_blend,graph
graph_model,graph_histgb_augmented,onion,15,4974.0,2025-10-03,2025-12-31,438.8633119248116,556.6536682797157,0.7013784395452475,15.375192066528127,15.348088033981773,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,75.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,onion,15,4974.0,2025-10-03,2025-12-31,444.4197661099322,563.5843507756116,0.6938961015689651,15.515626833442436,15.542410379169352,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,150.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,onion,15,4974.0,2025-10-03,2025-12-31,456.8344348695739,575.3011250769318,0.6810361560554246,15.967477656503457,15.97658070933436,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,300.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,potato,15,2307.0,2025-09-02,2025-11-30,240.07505018513908,371.61641895486696,0.9306704284804976,9.393451868269132,9.214129864312635,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,75.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,potato,15,2307.0,2025-09-02,2025-11-30,237.74317438391583,370.62790474188574,0.9310387766629268,9.26535071717234,9.124631990862856,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,150.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,potato,15,2307.0,2025-09-02,2025-11-30,238.45844773464245,370.278868558166,0.9311686029822775,9.255908197880345,9.15208432935865,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,300.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,tomato,15,24442.0,2025-10-03,2025-12-31,863.2720068417817,1253.1354956574091,0.2514035580807605,23.503132208544425,25.93759107975016,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,75.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,tomato,15,24442.0,2025-10-03,2025-12-31,867.400269863518,1255.8987093469675,0.2480985483015239,23.55251534048781,26.061627533242017,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,150.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,tomato,15,24442.0,2025-10-03,2025-12-31,860.9047055611082,1248.602180221484,0.2568099733769707,23.351277685819703,25.866463912305782,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,300.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,wheat,15,288.0,2025-09-02,2025-11-30,43.210970340913086,66.77427646334543,0.6532765937879024,1.7338968855258663,1.7073283573334554,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,75.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,wheat,15,288.0,2025-09-02,2025-11-30,42.88520727801873,66.95478018880425,0.6513995399487236,1.7222620085590703,1.6944569843773911,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,150.0,,,,,,,,,graph_histgb_augmented,graph
graph_model,graph_histgb_augmented,wheat,15,288.0,2025-09-02,2025-11-30,44.88010011131554,69.61664137795428,0.623130568134197,1.8035058115873128,1.7732781049691708,graph_histgb_metrics/graph_histgb_metrics.csv,10000.0,,,300.0,,,,,,,,,graph_histgb_augmented,graph
,,onion,15,,2025-10-03,2025-12-31,352.73577880859375,450.05053535686415,0.8048027753829956,,12.336005210876465,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,1.0,795.0,19.0,edge_weights,edge_weights__corr_heavy,edge_weights__corr_heavy,graph
,,onion,15,,2025-10-03,2025-12-31,352.68792724609375,449.98595464191993,0.8048588037490845,,12.334331512451172,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,1.0,795.0,19.0,edge_weights,edge_weights__geo_heavy,edge_weights__geo_heavy,graph
,,onion,15,,2025-10-03,2025-12-31,352.6414489746094,449.9294736400362,0.8049077987670898,,12.332706451416016,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,1.0,795.0,19.0,edge_weights,edge_weights__state_cluster_heavy,edge_weights__state_cluster_heavy,graph
,,onion,15,,2025-10-03,2025-12-31,394.6143798828125,501.1849084918659,0.7579265832901001,,13.800600051879885,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,corr_only,0.25,1.0,795.0,19.0,graph_mode,graph_mode__corr_only,graph_mode__corr_only,graph
,,onion,15,,2025-10-03,2025-12-31,371.891845703125,469.14836405981424,0.7878849506378174,,13.005937576293944,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,geo_only,0.25,1.0,795.0,19.0,graph_mode,graph_mode__geo_only,graph_mode__geo_only,graph
,,onion,15,,2025-10-03,2025-12-31,350.46319580078125,447.4372861083439,0.8070630431175232,,12.2565279006958,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,shuffled_graph,0.25,1.0,795.0,19.0,graph_mode,graph_mode__shuffled_graph,graph_mode__shuffled_graph,graph
,,onion,15,,2025-10-03,2025-12-31,363.1668701171875,456.5009926057117,0.799167275428772,,12.700804710388184,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,temporal_only,0.25,0.95,795.0,19.0,graph_mode,graph_mode__temporal_only,graph_mode__temporal_only,graph
,,onion,15,,2025-10-03,2025-12-31,352.71746826171875,449.9850344733701,0.8048595786094666,,12.33536434173584,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,1.0,795.0,19.0,k_neighbors,k_neighbors__k14,k_neighbors__k14,graph
,,onion,15,,2025-10-03,2025-12-31,352.9200744628906,450.2186621520703,0.8046569228172302,,12.342451095581056,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,1.0,795.0,19.0,k_neighbors,k_neighbors__k18,k_neighbors__k18,graph
,,onion,15,,2025-10-03,2025-12-31,352.6759948730469,449.9988368040522,0.8048475980758667,,12.333914756774902,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,1.0,795.0,19.0,k_neighbors,k_neighbors__k6,k_neighbors__k6,graph
,,onion,15,,2025-10-03,2025-12-31,352.7446594238281,450.0706368171556,0.8047853708267212,,12.336316108703612,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,1.0,795.0,19.0,reference,full_graph_delta_current_default,full_graph_delta_current_default,graph
,,onion,15,,2025-10-03,2025-12-31,355.64013671875,440.2249425009901,0.8132328987121582,,12.437577247619627,gat_gru_ablations/ablation_summary.csv,,delta_roll28,,,,full_graph,0.25,0.8500000000000001,795.0,19.0,target_mode,target_mode__delta_roll28,target_mode__delta_roll28,graph
,,onion,15,,2025-10-03,2025-12-31,387.840576171875,482.6243686864558,0.7755241394042969,,13.563702583312988,gat_gru_ablations/ablation_summary.csv,,delta_roll7,,,,full_graph,0.25,1.0,795.0,19.0,target_mode,target_mode__delta_roll7,target_mode__delta_roll7,graph
,,potato,15,,2025-09-02,2025-11-30,266.425537109375,398.35870299266713,0.920333206653595,,10.22546672821045,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.75,802.0,18.0,edge_weights,edge_weights__corr_heavy,edge_weights__corr_heavy,graph
,,potato,15,,2025-09-02,2025-11-30,266.56121826171875,398.34923041848594,0.9203369617462158,,10.230674743652344,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.75,802.0,18.0,edge_weights,edge_weights__geo_heavy,edge_weights__geo_heavy,graph
,,potato,15,,2025-09-02,2025-11-30,266.4549255371094,398.30772886676453,0.9203535914421082,,10.226594924926758,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.75,802.0,18.0,edge_weights,edge_weights__state_cluster_heavy,edge_weights__state_cluster_heavy,graph
,,potato,15,,2025-09-02,2025-11-30,254.8184051513672,387.4689302060231,0.9246293306350708,,9.779982566833496,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,corr_only,0.25,1.0,802.0,18.0,graph_mode,graph_mode__corr_only,graph_mode__corr_only,graph
,,potato,15,,2025-09-02,2025-11-30,260.6939697265625,398.40957255066047,0.9203128814697266,,10.005488395690918,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,geo_only,0.25,0.8500000000000001,802.0,18.0,graph_mode,graph_mode__geo_only,graph_mode__geo_only,graph
,,potato,15,,2025-09-02,2025-11-30,259.5588684082031,384.6796759967961,0.9257105588912964,,9.961922645568848,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,shuffled_graph,0.25,0.8500000000000001,802.0,18.0,graph_mode,graph_mode__shuffled_graph,graph_mode__shuffled_graph,graph
,,potato,15,,2025-09-02,2025-11-30,250.9730224609375,382.6326567348898,0.92649906873703,,9.63239574432373,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,temporal_only,0.25,1.0,802.0,18.0,graph_mode,graph_mode__temporal_only,graph_mode__temporal_only,graph
,,potato,15,,2025-09-02,2025-11-30,266.7708740234375,398.6439514152949,0.92021906375885,,10.238720893859863,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.75,802.0,18.0,k_neighbors,k_neighbors__k14,k_neighbors__k14,graph
,,potato,15,,2025-09-02,2025-11-30,266.9086608886719,398.8077152588701,0.9201534986495972,,10.244009971618652,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.75,802.0,18.0,k_neighbors,k_neighbors__k18,k_neighbors__k18,graph
,,potato,15,,2025-09-02,2025-11-30,266.5098571777344,398.3970224537327,0.9203178882598876,,10.228703498840332,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.75,802.0,18.0,k_neighbors,k_neighbors__k6,k_neighbors__k6,graph
,,potato,15,,2025-09-02,2025-11-30,265.9269714355469,397.6695786076677,0.9206085801124572,,10.206331253051758,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.8500000000000001,802.0,18.0,reference,full_graph_delta_current_default,full_graph_delta_current_default,graph
,,potato,15,,2025-09-02,2025-11-30,241.08753967285156,353.05785866129645,0.9374221563339232,,9.252988815307615,gat_gru_ablations/ablation_summary.csv,,delta_roll28,,,,full_graph,0.25,0.55,802.0,18.0,target_mode,target_mode__delta_roll28,target_mode__delta_roll28,graph
,,potato,15,,2025-09-02,2025-11-30,246.6266326904297,363.2252443388262,0.9337660074234008,,9.465579986572266,gat_gru_ablations/ablation_summary.csv,,delta_roll7,,,,full_graph,0.25,0.75,802.0,18.0,target_mode,target_mode__delta_roll7,target_mode__delta_roll7,graph
,,tomato,15,,2025-10-03,2025-12-31,851.029541015625,1221.6698612964142,0.2885255217552185,,25.56975746154785,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.15,758.0,75.0,edge_weights,edge_weights__corr_heavy,edge_weights__corr_heavy,graph
,,tomato,15,,2025-10-03,2025-12-31,851.0145874023438,1221.6556388770118,0.2885420322418213,,25.569307327270508,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.15,758.0,75.0,edge_weights,edge_weights__geo_heavy,edge_weights__geo_heavy,graph
,,tomato,15,,2025-10-03,2025-12-31,851.0122680664062,1221.6551784362066,0.288542628288269,,25.569238662719727,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.15,758.0,75.0,edge_weights,edge_weights__state_cluster_heavy,edge_weights__state_cluster_heavy,graph
,,tomato,15,,2025-10-03,2025-12-31,853.1669921875,1211.397436847214,0.3004400730133056,,25.63398170471191,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,corr_only,0.25,0.25,758.0,75.0,graph_mode,graph_mode__corr_only,graph_mode__corr_only,graph
,,tomato,15,,2025-10-03,2025-12-31,851.9284057617188,1215.491618646546,0.2957034111022949,,25.596765518188477,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,geo_only,0.25,0.25,758.0,75.0,graph_mode,graph_mode__geo_only,graph_mode__geo_only,graph
,,tomato,15,,2025-10-03,2025-12-31,849.7664794921875,1223.6422577698108,0.2862262725830078,,25.531810760498047,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,shuffled_graph,0.25,0.1,758.0,75.0,graph_mode,graph_mode__shuffled_graph,graph_mode__shuffled_graph,graph
,,tomato,15,,2025-10-03,2025-12-31,849.6576538085938,1207.4471520526272,0.304995059967041,,25.52853775024414,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,temporal_only,0.25,0.25,758.0,75.0,graph_mode,graph_mode__temporal_only,graph_mode__temporal_only,graph
,,tomato,15,,2025-10-03,2025-12-31,850.96044921875,1221.5657984734182,0.2886466979980469,,25.567684173583984,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.15,758.0,75.0,k_neighbors,k_neighbors__k14,k_neighbors__k14,graph
,,tomato,15,,2025-10-03,2025-12-31,850.875244140625,1221.4272900995786,0.2888079881668091,,25.56512451171875,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.15,758.0,75.0,k_neighbors,k_neighbors__k18,k_neighbors__k18,graph
,,tomato,15,,2025-10-03,2025-12-31,851.0531616210938,1221.6918085180075,0.2884999513626098,,25.570470809936523,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.15,758.0,75.0,k_neighbors,k_neighbors__k6,k_neighbors__k6,graph
,,tomato,15,,2025-10-03,2025-12-31,843.8936157226562,1204.086583265506,0.3088583946228027,,25.355356216430664,gat_gru_ablations/ablation_summary.csv,,delta_current,,,,full_graph,0.25,0.3,758.0,75.0,reference,full_graph_delta_current_default,full_graph_delta_current_default,graph
